Duration,Status,No. of previous failures,LENGTH,A_DIAM,Year,PRESSURE(bar),Failure Year,AADT (traffic) ( When failure occurred ),Mean Dew Point (deg. C) ( When failure occurred ),Mean Relative Humidity (%) ( When failure occurred ),Total Rainfall (mm) ( When failure occurred ),LANDUSE,LPR_Corros,A_MAT,TYPE,FAULT_TYPE,DEFECT1LV1,DEF_NATURE
44,1,0,44.88,80,1966,7.85,2010,,16.1,74,42.2,URBAN,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
26,1,0,123.712,100,1985,2.97,2011,,,,112.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
45,1,0,2.696,750,1966,7.02,2011,,18.1,76,84.5,URBAN,Non-Corrosive,S,CARRIAGEWAY,LEAK,C01,M
33,1,0,122.899,100,1978,6.97,2011,,17.5,71,,URBAN,Highly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
9,1,0,3.64,150,2003,6.19,2012,,13.8,78,56,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C01,M
36,1,0,45.628,900,1977,3.37,2013,,9.8,65,13,URBAN,Mildly Corrosive,S,Other Location,LEAK,C01,M
20,1,0,2.815,25,1993,6.68,2013,,13.1,94,12,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
20,1,0,9.505,25,1993,7.02,2013,,13.9,87,143.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
32,1,0,115.025,600,1981,1.99,2013,,15.7,72,142.3,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
28,1,0,46.404,40,1985,6.46,2013,,15.5,75,116,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
29,1,0,107.582,200,1985,4.67,2014,,19.5,85,,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C03,J
13,1,0,1.191,40,2001,7.24,2014,,26.1,82,273.5,RURAL,Highly Corrosive,PE,Other Location,LEAK,C01,M
8,1,0,1.751,25,2006,12.17,2014,,25.7,85,,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C01,M
48,1,0,40.451,600,1966,7.72,2014,,24.9,82,,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
37,1,0,8.726,600,1981,0.89,2018,,24.8,78,492.5,RURAL,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C02,J
21,1,0,119.659,100,1989,6.33,2010,,15.2,90,107.5,URBAN,Highly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
22,1,0,22.003,80,1988,4.04,2010,,24.9,94,389.5,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C03,M
9,1,0,4.509,80,2001,4.87,2010,,,,184.5,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C03,J
23,1,0,74.834,600,1987,5.05,2010,,11.9,79,24.5,URBAN,Highly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
24,1,1,91.553,80,1986,6.82,2010,,17,64,20,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C01,M
17,1,0,6.982,50,1994,1.49,2011,,7.5,67,5.4,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C01,M
5,1,0,55.631,200,2006,7.71,2011,,12,77,23.7,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C05,M
26,1,0,104.46,40,1985,9.77,2011,,10.7,65,18,RURAL,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
34,1,0,8.258,100,1976,7.71,2010,,25.5,81,469.4,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
8,1,0,18.061,80,2002,7.35,2010,,25.1,85,229.5,RURAL,Mildly Corrosive,PE,Other Location,LEAK,C02,J
5,1,0,23.106,300,2005,6.5,2010,,18.9,74,17.5,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C03,J
25,1,0,44.215,100,1985,6.07,2010,,17,64,20,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
23,1,0,13.163,80,1988,6.56,2011,,18.2,77,68,RURAL,Mildly Corrosive,UPVC,CARRIAGEWAY,LEAK,C03,M
22,1,0,1.668,50,1989,4.11,2011,,18.2,77,68,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C03,M
21,1,0,100.729,100,1989,4.35,2010,,12.7,74,,RURAL,Mildly Corrosive,UPVC,CARRIAGEWAY,LEAK,C03,M
15,1,0,1.275,150,1995,7.78,2010,,15.3,87,120,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C01,M
4,1,0,17.883,80,2007,6.55,2011,,6.3,55,0,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C03,J
17,1,0,14.018,100,1994,2.25,2011,,12,77,23.7,URBAN,Non-Corrosive,DI,FOOTWAY,LEAK,C03,J
19,1,1,48.639,25,1992,5.01,2011,,12.4,71,20.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
23,1,0,125.891,80,1987,7.58,2010,,15.6,80,,URBAN,Mildly Corrosive,UPVC,CARRIAGEWAY,LEAK,C03,M
17,1,0,38.973,150,1995,7.78,2012,,11.1,80,45,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,LEAK,C05,M
10,1,0,1.115,200,2002,5.6,2012,,11.1,80,45,URBAN,Non-Corrosive,S,FOOTWAY,LEAK,C03,M
30,1,0,1.388,50,1981,5.15,2011,,18.2,76,36,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
27,1,0,3.715,900,1984,5.51,2011,,19.9,92,183,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
19,1,0,5.124,100,1991,12.21,2010,,25.4,83,413,RURAL,Mildly Corrosive,UPVC,Other Location,LEAK,C03,J
20,1,0,98.078,80,1990,6.25,2010,,24.9,79,259.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
44,1,0,1.901,40,1966,4.32,2010,,24.6,83,583.1,URBAN,Non-Corrosive,UPVC,FOOTWAY,LEAK,C01,M
19,1,0,2.326,200,1991,7.1,2010,,23,76,442,URBAN,Mildly Corrosive,DI,Other Location,LEAK,C01,M
54,1,0,44.148,80,1956,7.18,2010,,19.2,72,22.7,URBAN,Non-Corrosive,DI,FOOTWAY,LEAK,C01,M
46,1,0,1.88,50,1966,7.85,2012,,21.2,85,294.9,URBAN,Mildly Corrosive,UPVC,Other Location,LEAK,C01,M
21,1,0,1.028,100,1990,7.71,2011,,25.1,81,226.8,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C01,M
4,1,0,9.67,200,2006,4.75,2010,,15.4,74,,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C03,J
7,1,0,21.526,150,2003,5.02,2010,,10.1,66,,RURAL,Mildly Corrosive,DI,Other Location,LEAK,C03,J
26,1,0,49.78,40,1985,11.28,2011,,5.5,61,6,URBAN,Mildly Corrosive,UPVC,CARRIAGEWAY,LEAK,C05,M
21,1,0,22.089,100,1991,7.09,2012,,24.1,85,260,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
25,1,4,91.553,80,1986,6.82,2011,,18.4,71,117.5,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C01,M
61,1,0,76.312,600,1950,9.49,2011,,19.1,71,69,RURAL,Mildly Corrosive,S,Other Location,LEAK,C05,J
25,1,0,80.497,80,1986,6.69,2011,,20.3,72,273.5,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C01,M
26,1,0,28.235,600,1985,4.83,2011,,25.1,83,168.5,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C01,M
15,1,0,75.358,80,1996,7.24,2011,,6.3,55,0,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C01,M
25,1,0,55.013,50,1986,6.62,2011,,16.5,70,98.5,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C01,M
45,1,0,12.354,100,1966,11.69,2011,,17.1,70,61,URBAN,Mildly Corrosive,UPVC,CARRIAGEWAY,LEAK,C05,M
25,1,1,7.41,100,1987,7.64,2012,,18.1,80,63,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
24,1,0,23.897,100,1988,7.85,2012,,13.1,85,29.5,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
26,1,0,129.732,50,1986,6.48,2012,,11.8,72,54,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C01,M
18,1,0,23.163,100,1995,7.02,2013,,10.5,67,,URBAN,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C05,M
27,1,5,91.553,80,1986,6.82,2013,,13.9,72,0,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C04,M
10,1,0,1.2,100,2002,4.86,2012,,24.4,86,277.7,URBAN,Mildly Corrosive,PE,FOOTWAY,LEAK,C02,M
32,1,0,5.707,300,1980,4.45,2012,,23.4,81,163.5,RURAL,Mildly Corrosive,S,Other Location,LEAK,C03,J
15,1,0,1.093,80,1998,7.17,2013,,19,86,241,RURAL,Highly Corrosive,UPVC,Other Location,LEAK,C03,M
23,1,0,1.936,400,1989,7.14,2012,,23.4,81,163.5,URBAN,Highly Corrosive,DI,FOOTWAY,LEAK,C01,M
15,1,0,25.286,150,1997,5.56,2012,,25.2,81,467.8,URBAN,Mildly Corrosive,S,CARRIAGEWAY,LEAK,C03,M
2,1,0,0.728,50,2010,12.03,2012,,22.4,74,,URBAN,Mildly Corrosive,PE,Other Location,LEAK,C02,J
18,1,0,3.661,25,1994,7.73,2012,,24.7,82,400.5,URBAN,Mildly Corrosive,UPVC,Other Location,LEAK,C03,M
6,1,0,2.529,150,2004,5.36,2010,,12.1,75,25,URBAN,Mildly Corrosive,DI,FOOTWAY,LEAK,C03,M
17,1,0,24.309,80,1993,5.36,2010,,15.8,88,113.1,URBAN,Non-Corrosive,UPVC,FOOTWAY,LEAK,C03,J
17,1,0,16.891,80,1993,3.49,2010,,15.1,74,15,RURAL,Mildly Corrosive,UPVC,FOOTWAY,LEAK,C03,M
10,0,0,5.92,100,2013,5.43,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.204,100,2013,5.43,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,0.991,100,2013,5.43,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,2.143,80,2013,5.43,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,0.604,100,2013,5.43,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,2.004,80,2013,5.43,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,4.433,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.373,150,2013,7.09,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.809,80,2011,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.012,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.475,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.661,80,2011,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.071,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.014,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.101,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.117,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.127,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,0.934,200,2013,5.44,,,,,,URBAN,Mildly Corrosive,DI,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.033,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.088,80,2013,5.21,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,8.919,150,2011,1.32,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.314,80,2011,2.63,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.27,80,2011,8.62,,,,,,URBAN,Non-Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.124,150,2011,8.14,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,40.027,150,2011,1.39,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.246,150,2011,8.07,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.832,100,2011,8.62,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.299,150,2011,7.87,,,,,,URBAN,Non-Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.482,80,2011,2.98,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.243,80,2011,8.62,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.29,100,2011,8.14,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.426,100,2011,1.25,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,37.747,150,2011,1.74,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,3.674,450,2011,7.02,,,,,,URBAN,Non-Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,2.034,50,2013,6.27,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,27.191,200,2011,7.02,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,24.737,450,2011,6.95,,,,,,URBAN,Non-Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,4.942,50,2013,6.27,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
11,0,0,22.718,150,2012,6.34,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.977,50,2013,6.27,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,6.009,20,2013,6.27,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.061,100,2011,4.82,,,,,,RURAL,Mildly Corrosive,DI,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,3.654,100,2011,4.89,,,,,,RURAL,Mildly Corrosive,DI,Other Location,Not_Failed,Not_Failed,Not_Failed
14,0,0,1.443,40,2009,7.71,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
14,0,0,7.847,40,2009,7.71,,,,,,RURAL,Highly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
15,0,0,3.078,300,2008,10.68,,,,,,URBAN,Mildly Corrosive,DI,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
15,0,0,15.477,300,2008,10.68,,,,,,URBAN,Mildly Corrosive,S,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,10.188,100,2011,4.82,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
15,0,0,0.198,300,2008,10.68,,,,,,URBAN,Mildly Corrosive,DI,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,22.014,50,2013,5.86,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
10,0,0,27.339,50,2013,5.86,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
15,0,0,9.966,150,2008,6.82,,,,,,RURAL,Mildly Corrosive,DI,Other Location,Not_Failed,Not_Failed,Not_Failed
16,0,0,3.92,150,2007,6.82,,,,,,RURAL,Mildly Corrosive,DI,Other Location,Not_Failed,Not_Failed,Not_Failed
11,0,0,28.198,450,2012,5.28,,,,,,URBAN,Mildly Corrosive,S,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,0.923,450,2012,5.35,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,1.131,50,2013,5.86,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
16,0,0,1.072,80,2007,5.86,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
11,0,0,13.521,450,2012,5.28,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,0.431,450,2012,5.35,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,3.116,400,2012,5.35,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
36,0,0,0.582,400,1987,5.35,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.508,450,2012,5.35,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.717,200,2011,7.02,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,13.148,450,2012,5.28,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,0.441,450,2012,5.35,,,,,,URBAN,Mildly Corrosive,DI,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,29.983,80,2013,7.78,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,2.145,80,2013,7.78,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,35.118,80,2011,1.67,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
10,0,0,0.622,80,2013,7.78,,,,,,URBAN,Mildly Corrosive,SS,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.574,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,2.286,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,25.309,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,5.387,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,14.76,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,14.733,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.11,100,2012,7.17,,,,,,URBAN,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.323,25,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.122,40,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,4.179,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.739,25,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.362,80,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,6.593,150,2011,1.12,,,,,,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.66,100,2011,1.6,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.967,150,2011,1.12,,,,,,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.68,50,2011,1.74,,,,,,RURAL,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.478,150,2011,1.6,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.732,150,2011,1.6,,,,,,RURAL,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.726,80,2011,1.47,,,,,,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.08,200,2011,1.26,,,,,,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.527,40,2011,1.67,,,,,,RURAL,Mildly Corrosive,SS,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.051,150,2011,1.6,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.935,100,2011,1.12,,,,,,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.489,150,2011,1.26,,,,,,RURAL,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.645,50,2011,1.74,,,,,,RURAL,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.059,50,2011,1.74,,,,,,RURAL,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.176,150,2011,1.67,,,,,,RURAL,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.726,150,2011,1.12,,,,,,RURAL,Mildly Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,53.938,150,2011,8.49,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.968,150,2011,1.25,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.899,100,2011,2.91,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.56,100,2011,8.14,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,4.139,150,2011,8.07,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.203,80,2011,2.91,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.23,80,2011,2.98,,,,,,URBAN,Non-Corrosive,SS,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.488,150,2011,1.25,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.138,100,2011,1.67,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.272,80,2011,2.63,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.171,80,2011,2.98,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.036,100,2011,2.63,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.243,100,2011,8.14,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.507,100,2011,2.98,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.65,100,2011,1.25,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.891,150,2011,8.14,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,4.904,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,0.814,40,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.807,80,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,0.994,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,5.264,150,2011,8.07,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,11.179,100,2011,8.14,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.893,100,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
11,0,0,1.184,40,2012,7.1,,,,,,URBAN,Mildly Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.621,80,2011,2.98,,,,,,URBAN,Non-Corrosive,SS,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.633,100,2011,8.55,,,,,,URBAN,Non-Corrosive,PE,FOOTWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,0.979,100,2011,2.91,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
12,0,0,2.975,150,2011,8.9,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
12,0,0,1.204,100,2011,1.25,,,,,,URBAN,Non-Corrosive,PE,CARRIAGEWAY,Not_Failed,Not_Failed,Not_Failed
18,0,0,15.218,100,2005,2.98,,,,,,URBAN,Non-Corrosive,PE,Other Location,Not_Failed,Not_Failed,Not_Failed
